"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,4.69451299550601,0.985,0.343,0,"B-Cells","ACACB"
"2",0,3.11951116814142,0.943,0.02,0,"B-Cells","GPAM"
"3",0,2.50685469862912,0.955,0.157,0,"B-Cells","PPARG"
"4",0,2.31547987023068,0.901,0.215,0,"B-Cells","SIK2"
"5",0,2.28844224166817,0.831,0.016,0,"B-Cells","PDE8B"
"6",0,2.2616870215582,0.821,0.066,0,"B-Cells","LIPE-AS1"
"7",0,2.26131390370285,0.794,0.024,0,"B-Cells","PRKAR2B"
"8",0,2.24854719574896,0.886,0.172,0,"B-Cells","GHR"
"9",0,2.17436632384787,0.923,0.238,0,"B-Cells","PDE3B"
"10",0,2.15935561164564,0.843,0.073,0,"B-Cells","TMEM132C"
"11",0,2.13410736089578,0.888,0.144,0,"B-Cells","PLXNA4"
"12",0,1.99969873910295,0.816,0.111,0,"B-Cells","AGBL4"
"13",0,1.97257036296604,0.878,0.174,0,"B-Cells","ADH1B"
"14",0,1.95187845451211,0.991,0.386,0,"B-Cells","EBF1"
"15",0,1.93968035807745,0.907,0.172,0,"B-Cells","ITSN1"
"16",0,1.92611705348321,0.722,0.042,0,"B-Cells","KCNIP2-AS1"
"17",0,1.84849169247243,0.828,0.151,0,"B-Cells","ACSL1"
"18",0,1.84071762479333,0.727,0.057,0,"B-Cells","IGF1"
"19",0,1.81707735026534,0.851,0.146,0,"B-Cells","BCL2"
"20",0,1.81242850355616,0.786,0.076,0,"B-Cells","TENM3"
"21",0,1.75683065476779,0.813,0.102,0,"B-Cells","MAPK10"
"22",0,1.74914912584385,0.748,0.068,0,"B-Cells","RP11-665G4.1"
"23",0,1.7369354780399,0.805,0.088,0,"B-Cells","AKAP12"
"24",0,1.73191171954804,0.704,0.032,0,"B-Cells","LIPE"
"25",0,1.73106524524225,0.789,0.085,0,"B-Cells","TPRG1"
"26",0,1.7112179949595,0.749,0.108,0,"B-Cells","EMP1"
"27",0,1.69219798129081,0.904,0.335,0,"B-Cells","FOXO1"
"28",0,1.67236921752982,0.781,0.087,0,"B-Cells","SVEP1"
"29",0,1.65941872907452,0.754,0.079,0,"B-Cells","ELMOD3"
"30",0,1.65750084695287,0.876,0.224,0,"B-Cells","LPL"
"31",0,1.65458508250768,0.802,0.191,0,"B-Cells","MGEA5"
"32",0,1.63779010467463,0.757,0.053,0,"B-Cells","SPON1"
"33",0,1.63093143348987,0.851,0.196,0,"B-Cells","MYCBP2"
"34",0,1.62856233425175,0.818,0.121,0,"B-Cells","RP11-444D3.1"
"35",0,1.62383401837107,0.873,0.263,0,"B-Cells","ITPR2"
"36",0,1.62375375092916,0.869,0.24,0,"B-Cells","FRMD4A"
"37",0,1.62122250639393,0.894,0.233,0,"B-Cells","MGST1"
"38",0,1.61819984782407,0.746,0.065,0,"B-Cells","DHRS3"
"39",0,1.59919040557862,0.695,0.018,0,"B-Cells","TRHDE"
"40",0,1.59751706430861,0.781,0.086,0,"B-Cells","DIRC3"
"41",0,1.57414582606441,0.675,0.046,0,"B-Cells","APBB1IP"
"42",0,1.55888056945025,0.688,0.021,0,"B-Cells","MLXIPL"
"43",0,1.5544418894238,0.736,0.046,0,"B-Cells","FABP4"
"44",0,1.52751276696575,0.749,0.074,0,"B-Cells","CLMP"
"45",0,1.51911154001629,0.752,0.099,0,"B-Cells","VKORC1L1"
"46",0,1.50814613399434,0.761,0.104,0,"B-Cells","SOX5"
"47",0,1.50451536105708,0.876,0.304,0,"B-Cells","COL4A2"
"48",0,1.49038910798558,0.71,0.049,0,"B-Cells","ADAMTS12"
"49",0,1.47956105683615,0.808,0.175,0,"B-Cells","ASPH"
"50",0,1.47389446647816,0.886,0.262,0,"B-Cells","APBB2"
"51",0,1.47008999957727,0.824,0.221,0,"B-Cells","COL4A1"
"52",0,1.46430320783441,0.742,0.091,0,"B-Cells","CTIF"
"53",0,1.45315288344105,0.792,0.13,0,"B-Cells","GPC6"
"54",0,1.44334822090872,0.66,0.059,0,"B-Cells","ANGPTL4"
"55",0,1.44235085348974,0.646,0.023,0,"B-Cells","MARC1"
"56",0,1.43990579247439,0.821,0.137,0,"B-Cells","CPM"
"57",0,1.43728041046737,0.774,0.138,0,"B-Cells","PTPRS"
"58",0,1.40204407833236,0.748,0.113,0,"B-Cells","PCSK5"
"59",0,1.38757386146207,0.746,0.146,0,"B-Cells","LAMA4"
"60",0,1.38507673539622,0.799,0.231,0,"B-Cells","AQP7"
"61",0,1.37630888897221,0.676,0.065,0,"B-Cells","ADRBK2"
"62",0,1.36390444179357,0.803,0.214,0,"B-Cells","TRPS1"
"63",0,1.362567368754,0.787,0.259,0,"B-Cells","TLN2"
"64",0,1.34269217580831,0.713,0.074,0,"B-Cells","RP11-736K20.5"
"65",0,1.3309117513353,0.714,0.089,0,"B-Cells","IRS2"
"66",0,1.32247250851287,0.739,0.128,0,"B-Cells","ACSS2"
"67",0,1.30908848061179,0.685,0.07,0,"B-Cells","APCDD1"
"68",0,1.29709743944941,0.62,0.034,0,"B-Cells","HACD2"
"69",0,1.29280172956536,0.694,0.074,0,"B-Cells","MDFIC"
"70",0,1.29060697740671,0.765,0.208,0,"B-Cells","TMEM135"
"71",0,1.28246060218666,0.681,0.063,0,"B-Cells","EEPD1"
"72",0,1.28212397802087,0.558,0.033,0,"B-Cells","NRIP1"
"73",0,1.2737477711629,0.789,0.209,0,"B-Cells","EHBP1"
"74",0,1.25977140297101,0.819,0.24,0,"B-Cells","SAT1"
"75",0,1.24957233191249,0.71,0.092,0,"B-Cells","AP000304.12"
"76",0,1.24278998445844,0.727,0.1,0,"B-Cells","LIMA1"
"77",0,1.24042951497999,0.7,0.077,0,"B-Cells","LDLRAD3"
"78",0,1.23802055905933,0.636,0.036,0,"B-Cells","RP1-193H18.3"
"79",0,1.22983109607732,0.638,0.049,0,"B-Cells","SEMA3A"
"80",0,1.21697546426444,0.628,0.072,0,"B-Cells","PLA2G16"
"81",0,1.21520944712541,0.609,0.04,0,"B-Cells","RETSAT"
"82",0,1.21173383017137,0.663,0.054,0,"B-Cells","ELOVL5"
"83",0,1.21144071259871,0.73,0.134,0,"B-Cells","RTN4"
"84",0,1.20751566317814,0.71,0.101,0,"B-Cells","SLIT3"
"85",0,1.19954778093517,0.655,0.062,0,"B-Cells","TNFAIP8"
"86",0,1.19612781813089,0.724,0.118,0,"B-Cells","MAOA"
"87",0,1.18987042410913,0.564,0.046,0,"B-Cells","ABHD5"
"88",0,1.17878606919385,0.649,0.062,0,"B-Cells","PFKFB3"
"89",0,1.17539091085073,0.663,0.079,0,"B-Cells","CARMN"
"90",0,1.17391199199339,0.59,0.052,0,"B-Cells","NHS"
"91",0,1.17025274208748,0.617,0.044,0,"B-Cells","ATP9A"
"92",0,1.16994208256584,0.676,0.155,0,"B-Cells","FP325317.1"
"93",0,1.16481261446619,0.646,0.061,0,"B-Cells","ACO1"
"94",0,1.16394799189347,0.653,0.115,0,"B-Cells","PLIN5"
"95",0,1.15935787672821,0.573,0.04,0,"B-Cells","C8orf34"
"96",0,1.14547532193584,0.71,0.128,0,"B-Cells","ADIPOR2"
"97",0,1.1438704820272,0.653,0.081,0,"B-Cells","AC005592.2"
"98",9.44601950993525e-279,1.28316494095466,0.879,0.465,7.07884702074548e-275,"B-Cells","GBE1"
"99",9.59374570369061e-267,1.40748536367142,0.863,0.296,7.18955303034575e-263,"B-Cells","PTEN"
"100",6.21859862192025e-261,1.2904506497316,0.85,0.291,4.66021780726704e-257,"B-Cells","SLC1A3"
"101",0,4.05808756764949,0.868,0.038,0,"Neuronal Cells","NRXN1"
"102",0,3.5494275034159,0.832,0.063,0,"Neuronal Cells","NRXN3"
"103",0,3.22317075274211,0.782,0.038,0,"Neuronal Cells","CADM2"
"104",0,2.86369220472712,0.736,0.021,0,"Neuronal Cells","XKR4"
"105",0,2.4348324520732,0.589,0.023,0,"Neuronal Cells","KIRREL3"
"106",0,2.13506808085465,0.496,0.025,0,"Neuronal Cells","CHL1"
"107",0,2.07373997980065,0.521,0.04,0,"Neuronal Cells","GPM6B"
"108",0,2.04937468070254,0.511,0.033,0,"Neuronal Cells","ZNF536"
"109",3.29582131500882e-255,2.03517626040883,0.468,0.047,2.46988849346761e-251,"Neuronal Cells","SLC35F1"
"110",4.60360661364681e-239,2.11949904565165,0.539,0.067,3.44994279626692e-235,"Neuronal Cells","SORCS1"
"111",8.0707340227529e-180,1.64683639984242,0.368,0.04,6.04820807665102e-176,"Neuronal Cells","NTM"
"112",4.20831316011743e-152,1.78093151818587,0.675,0.167,3.153709882192e-148,"Neuronal Cells","NCAM2"
"113",1.16449310594106e-144,1.73991137679871,0.843,0.308,8.72671133592232e-141,"Neuronal Cells","CDH19"
"114",2.7558597974159e-140,1.50554027892304,0.407,0.059,2.06524133218347e-136,"Neuronal Cells","IQGAP2"
"115",2.45000898346025e-134,1.69998517434045,0.454,0.079,1.83603673220511e-130,"Neuronal Cells","FRMD5"
"116",1.11993639413241e-129,1.73146254033752,0.604,0.151,8.39280333762827e-126,"Neuronal Cells","BCL2"
"117",6.95155418908652e-128,1.58214701167461,0.45,0.081,5.20949470930144e-124,"Neuronal Cells","TENM3"
"118",1.24364814525167e-123,1.37630882352272,0.35,0.05,9.31989920051602e-120,"Neuronal Cells","IL1RAPL2"
"119",9.782534558998e-123,1.48659045233194,0.714,0.223,7.3310313985131e-119,"Neuronal Cells","SCN7A"
"120",3.37036741132841e-117,1.72234382025862,0.704,0.244,2.52575333804951e-113,"Neuronal Cells","FRMD4A"
"121",2.90151467159102e-99,1.47655947552736,0.496,0.122,2.17439509489031e-95,"Neuronal Cells","SAMHD1"
"122",4.08241562920797e-99,1.18725651087131,0.225,0.026,3.05936227252846e-95,"Neuronal Cells","TRABD2B"
"123",1.48849440294086e-94,1.40674078340097,0.325,0.055,1.11547770556388e-90,"Neuronal Cells","GPR155"
"124",3.22476474388766e-92,1.15261113984611,0.85,0.328,2.41663869906941e-88,"Neuronal Cells","NEGR1"
"125",5.90576269124381e-91,1.45261767475855,0.704,0.314,4.42577856081811e-87,"Neuronal Cells","ANK3"
"126",4.09406748397388e-87,1.17327454579456,0.721,0.29,3.06809417249002e-83,"Neuronal Cells","ADGRB3"
"127",4.79721111352084e-83,1.48120251114117,0.307,0.054,3.59503000847252e-79,"Neuronal Cells","NLGN4X"
"128",4.96453893335951e-77,1.43492595138883,0.579,0.212,3.72042547665962e-73,"Neuronal Cells","EHBP1"
"129",2.97553330023181e-73,1.43255625713295,0.532,0.185,2.22986465519372e-69,"Neuronal Cells","CADM1"
"130",1.19941485943306e-71,1.13999412526295,0.211,0.03,8.98841495659135e-68,"Neuronal Cells","HSPA12A"
"131",7.22878046221851e-71,1.41512120566155,0.45,0.13,5.41724807838655e-67,"Neuronal Cells","PRKCA"
"132",1.28503421358803e-67,1.25346032495774,0.246,0.042,9.63004639662871e-64,"Neuronal Cells","GRIK2"
"133",1.11260462838196e-62,1.37914905936946,0.629,0.304,8.33785908509441e-59,"Neuronal Cells","NCAM1"
"134",9.17543942660194e-60,1.28248840977999,0.396,0.113,6.87607430629549e-56,"Neuronal Cells","BACH2"
"135",3.79025078005858e-59,1.21001014360794,0.296,0.066,2.8404139345759e-55,"Neuronal Cells","PTPRJ"
"136",3.54474515859378e-57,1.16931045845368,0.65,0.339,2.65643202185018e-53,"Neuronal Cells","FOXO1"
"137",5.06255099893455e-55,1.16039688659167,0.296,0.069,3.79387571860155e-51,"Neuronal Cells","KLHL29"
"138",4.11916354946109e-50,1.23548166454225,0.357,0.107,3.08690116396614e-46,"Neuronal Cells","ASTN2"
"139",5.71865662255649e-50,1.08400774998822,0.293,0.072,4.28556127294383e-46,"Neuronal Cells","VIM"
"140",9.95328526655391e-49,1.02400304402658,0.275,0.065,7.4589919787555e-45,"Neuronal Cells","CD9"
"141",3.54720199482723e-47,1.07414472333225,0.339,0.098,2.65827317492353e-43,"Neuronal Cells","ASAP2"
"142",1.29637703321884e-46,1.01979051280811,0.193,0.036,9.71504948694195e-43,"Neuronal Cells","POLR2F"
"143",1.69808340524413e-45,0.986669737835684,0.636,0.377,1.27254370388995e-41,"Neuronal Cells","WSB1"
"144",7.1769367703945e-40,1.02943287099831,0.189,0.039,5.37839641573364e-36,"Neuronal Cells","RPGR"
"145",9.86486361651696e-40,1.09726451281996,0.336,0.108,7.39272879421781e-36,"Neuronal Cells","WIPF1"
"146",1.86445524941866e-39,0.933976335090336,0.589,0.312,1.39722276391434e-35,"Neuronal Cells","AKT3"
"147",1.46216394585518e-37,0.892112729467424,0.161,0.031,1.09574566102387e-33,"Neuronal Cells","GNG2"
"148",7.03389598410416e-37,1.28645854369492,0.35,0.127,5.27120165048766e-33,"Neuronal Cells","ADGRL3"
"149",1.98713579968401e-36,0.90802222643002,0.157,0.03,1.48915956828319e-32,"Neuronal Cells","ALCAM"
"150",1.13991874256108e-35,1.14269643951648,0.45,0.209,8.54255105675275e-32,"Neuronal Cells","CLIC4"
"151",9.35996490995072e-35,1.08949735507201,0.6,0.389,7.01435770351707e-31,"Neuronal Cells","KIAA1217"
"152",2.05210943953535e-33,0.89266652755596,0.493,0.237,1.53785081398779e-29,"Neuronal Cells","PLCB1"
"153",2.05985904473589e-33,0.965368922760107,0.354,0.131,1.54365836812508e-29,"Neuronal Cells","LPAR1"
"154",4.55525724729621e-33,0.905541444503592,0.179,0.04,3.41370978112378e-29,"Neuronal Cells","TTC39C"
"155",5.32798419800064e-33,0.772499120149601,0.146,0.028,3.99279135798168e-29,"Neuronal Cells","ARAP2"
"156",7.94438607706103e-31,0.824121261893519,0.146,0.03,5.95352292614953e-27,"Neuronal Cells","TPTEP1"
"157",1.86356275240636e-30,0.911358487820949,0.221,0.062,1.39655392665333e-26,"Neuronal Cells","PAPPA"
"158",2.91025447110975e-30,0.96953423464155,0.254,0.078,2.18094470064965e-26,"Neuronal Cells","S100A6"
"159",1.8537657293111e-29,0.992229943263287,0.257,0.083,1.38921203754574e-25,"Neuronal Cells","PLCE1"
"160",2.28360133949161e-27,0.792803304438253,0.6,0.447,1.71133084381501e-23,"Neuronal Cells","STARD13"
"161",4.71279917077357e-27,0.841014056118103,0.179,0.047,3.53177169857772e-23,"Neuronal Cells","AHR"
"162",2.18973286393965e-26,1.06684877639857,0.354,0.159,1.64098580823638e-22,"Neuronal Cells","FP325317.1"
"163",4.33189982062307e-26,0.778017770308996,0.121,0.025,3.24632572557493e-22,"Neuronal Cells","ALDH1A1"
"164",9.31331424149913e-25,0.902772665665424,0.382,0.177,6.97939769257945e-21,"Neuronal Cells","EPB41L2"
"165",4.53962670893814e-24,0.87533853369352,0.189,0.055,3.40199625567824e-20,"Neuronal Cells","PTPN13"
"166",6.26975319017766e-24,0.932163775067843,0.418,0.22,4.69855304071914e-20,"Neuronal Cells","ZSWIM6"
"167",4.0334657854959e-23,0.73345970599238,0.468,0.244,3.02267925965063e-19,"Neuronal Cells","ELMO1"
"168",1.18559223691821e-22,0.997074268330391,0.407,0.223,8.88482822346508e-19,"Neuronal Cells","FIGN"
"169",4.32064434459675e-21,0.914499060889777,0.418,0.244,3.23789087184081e-17,"Neuronal Cells","DOCK5"
"170",4.99199580889247e-21,0.880671140425146,0.239,0.091,3.74100165918402e-17,"Neuronal Cells","COL21A1"
"171",1.26377970728044e-20,0.706372873505063,0.514,0.328,9.47076512635963e-17,"Neuronal Cells","ZEB2"
"172",5.72017301936494e-20,0.830626928181214,0.157,0.046,4.28669766071208e-16,"Neuronal Cells","CPPED1"
"173",7.60003269765874e-19,0.912026925865347,0.4,0.234,5.69546450362546e-15,"Neuronal Cells","PHACTR4"
"174",1.84704475673266e-18,0.753672754342251,0.107,0.026,1.38417534069546e-14,"Neuronal Cells","ALK"
"175",2.96675757265304e-18,0.705618858775401,0.129,0.035,2.22328812494619e-14,"Neuronal Cells","BBS2"
"176",5.47156215790857e-18,0.865237570112166,0.157,0.049,4.10038868113668e-14,"Neuronal Cells","SLC22A23"
"177",6.85032844467916e-18,0.716625955437598,0.107,0.026,5.13363613644257e-14,"Neuronal Cells","TOX"
"178",9.49577044393794e-18,0.852697215066931,0.214,0.082,7.11613037068709e-14,"Neuronal Cells","CLMN"
"179",1.15245803837189e-17,0.878490253305588,0.218,0.086,8.63652053955897e-14,"Neuronal Cells","GALNT2"
"180",3.60362226446999e-17,0.783523023249704,0.146,0.045,2.70055452499381e-13,"Neuronal Cells","TMEM72-AS1"
"181",1.78340463749525e-16,0.821832238239407,0.221,0.091,1.33648343533894e-12,"Neuronal Cells","MYO1E"
"182",2.39709937182937e-15,0.782252485066347,0.225,0.096,1.79638626924893e-11,"Neuronal Cells","PIP4K2A"
"183",2.91680888395131e-15,0.738962482181527,0.182,0.068,2.18585657763311e-11,"Neuronal Cells","GULP1"
"184",4.70815357881668e-15,0.722396126191841,0.132,0.042,3.52829029196522e-11,"Neuronal Cells","NFATC2"
"185",6.09898313283974e-15,0.803264522415274,0.164,0.06,4.5705779597501e-11,"Neuronal Cells","BCR"
"186",1.78080282258003e-14,0.803656664489207,0.229,0.102,1.33453363524148e-10,"Neuronal Cells","CTDSPL"
"187",8.08239736357227e-14,0.780745294937963,0.361,0.221,6.05694858426106e-10,"Neuronal Cells","ADAMTS9-AS2"
"188",2.63997974904569e-13,0.762664173282334,0.139,0.049,1.97840082393484e-09,"Neuronal Cells","MEGF9"
"189",1.27391107787414e-12,0.801722140850553,0.243,0.122,9.54668961758878e-09,"Neuronal Cells","AC129778.2"
"190",2.36784760280718e-12,0.793476874520574,0.293,0.164,1.7744649935437e-08,"Neuronal Cells","MAML3"
"191",2.55974188636746e-12,0.745822545727831,0.218,0.101,1.91827056964377e-08,"Neuronal Cells","DAAM2"
"192",1.10799961176366e-11,0.727171226721084,0.225,0.108,8.30334909055689e-08,"Neuronal Cells","ARHGAP15"
"193",5.50349893310988e-11,0.784999511039564,0.171,0.076,4.12432210047255e-07,"Neuronal Cells","RALGPS2"
"194",3.30187501975734e-10,0.754313693895376,0.179,0.084,2.47442513980615e-06,"Neuronal Cells","CAB39L"
"195",2.20112461371115e-09,0.755179602526017,0.218,0.116,1.64952278551514e-05,"Neuronal Cells","SLC44A1"
"196",2.55598618823496e-09,0.819543882982473,0.239,0.139,1.91545604946328e-05,"Neuronal Cells","SEMA3C"
"197",2.93366722712389e-08,0.732438337207303,0.2,0.108,0.000219849022000665,"Neuronal Cells","SIPA1L1"
"198",5.6952468961604e-07,0.738822437844809,0.186,0.106,0.00426801802398261,"Neuronal Cells","ABCD3"
"199",2.34609988723305e-06,0.700672547830999,0.221,0.142,0.0175816725549245,"Neuronal Cells","PMP22"
"200",2.75356491952344e-06,0.736281831831578,0.171,0.099,0.0206352155069087,"Neuronal Cells","KAT2B"
"201",0,2.78682865747781,0.831,0.066,0,"T-Cells","PARP8"
"202",0,2.70872609674334,0.764,0.015,0,"T-Cells","SKAP1"
"203",0,2.64775121171974,0.755,0.03,0,"T-Cells","PTPRC"
"204",0,2.2551433422915,0.627,0.055,0,"T-Cells","SYTL3"
"205",0,2.20991187156346,0.794,0.168,0,"T-Cells","FYN"
"206",0,2.18971316896316,0.758,0.104,0,"T-Cells","ARHGAP15"
"207",0,2.17253786280855,0.59,0.059,0,"T-Cells","CNOT6L"
"208",0,2.10959081915984,0.808,0.174,0,"T-Cells","CCND3"
"209",0,2.02637999558377,0.554,0.066,0,"T-Cells","STK4"
"210",0,1.85651408498356,0.465,0.037,0,"T-Cells","AOAH"
"211",0,1.78677511456231,0.528,0.083,0,"T-Cells","CDC42SE2"
"212",0,1.74081144704692,0.394,0.028,0,"T-Cells","PPP1R16B"
"213",0,1.70642290398928,0.373,0.036,0,"T-Cells","DOCK10"
"214",0,1.69903115281977,0.524,0.087,0,"T-Cells","PRKCH"
"215",0,1.69177827554112,0.373,0.034,0,"T-Cells","STAT4"
"216",0,1.57935379825361,0.316,0.027,0,"T-Cells","PRKCB"
"217",0,1.5767185888563,0.355,0.041,0,"T-Cells","TRERF1"
"218",0,1.53847347391014,0.334,0.036,0,"T-Cells","INPP5D"
"219",0,1.43673210262839,0.27,0.021,0,"T-Cells","AKNA"
"220",2.02534512880259e-286,1.68296355683588,0.504,0.09,1.51779363952466e-282,"T-Cells","CHST11"
"221",3.44198114598203e-281,1.41971285146351,0.263,0.025,2.57942067079894e-277,"T-Cells","TOX"
"222",1.67668253220734e-275,1.57882235173053,0.401,0.058,1.25650588963618e-271,"T-Cells","IQGAP2"
"223",9.89710609894037e-275,1.60365449181063,0.405,0.059,7.41689131054591e-271,"T-Cells","DOCK8"
"224",9.85442320445485e-267,1.55359458245121,0.321,0.039,7.38490474941846e-263,"T-Cells","TTC39C"
"225",4.14154917683509e-240,1.40795433275415,0.25,0.026,3.10367695312022e-236,"T-Cells","PZP"
"226",6.4090358227819e-235,1.41751990856001,0.254,0.027,4.80293144559276e-231,"T-Cells","ARAP2"
"227",4.28583262948652e-234,1.50328264637665,0.385,0.062,3.2118029725372e-230,"T-Cells","ETS1"
"228",1.52478866322794e-222,1.46204758886357,0.307,0.041,1.14267662422302e-218,"T-Cells","PIK3R5"
"229",7.56526790134952e-221,1.43120547349728,0.268,0.032,5.66941176527133e-217,"T-Cells","SRGN"
"230",4.06433013014458e-215,1.56457130836358,0.345,0.054,3.04580899953035e-211,"T-Cells","TMEM2"
"231",7.8535543466457e-209,1.46919839084777,0.274,0.035,5.88545362737629e-205,"T-Cells","FAM65B"
"232",1.71868869734276e-206,1.52738966987914,0.448,0.094,1.28798530978866e-202,"T-Cells","PIP4K2A"
"233",1.45660471918328e-201,1.52932939174959,0.627,0.203,1.09157957655595e-197,"T-Cells","ANKRD44"
"234",1.73477404208602e-186,1.25290156881227,0.199,0.021,1.30003966713927e-182,"T-Cells","SLA"
"235",7.14113127908844e-185,1.35340354215602,0.652,0.219,5.35156378054888e-181,"T-Cells","B2M"
"236",6.11238317949496e-176,1.35520348215819,0.277,0.041,4.58061995471353e-172,"T-Cells","C22orf34"
"237",3.28831598121469e-174,1.42140004371553,0.403,0.087,2.46426399632229e-170,"T-Cells","TC2N"
"238",1.96117593503424e-167,1.48600891536321,0.353,0.07,1.46970524571466e-163,"T-Cells","EML4"
"239",8.27790161435363e-144,1.27859379381596,0.266,0.045,6.20345946979661e-140,"T-Cells","SMAP2"
"240",3.00347447022541e-141,1.41797539240531,0.419,0.112,2.25080376798692e-137,"T-Cells","RASA2"
"241",3.42166595190794e-139,1.19880402814975,0.217,0.032,2.56419646435981e-135,"T-Cells","FYB"
"242",2.72041029169971e-131,1.29146513090071,0.236,0.039,2.03867547259977e-127,"T-Cells","ERN1"
"243",7.5275098544761e-128,1.13904506721546,0.172,0.022,5.64111588494439e-124,"T-Cells","EMB"
"244",4.58473501185664e-112,1.1209971312167,0.195,0.031,3.43580041788537e-108,"T-Cells","TSPAN5"
"245",3.39365183486371e-111,1.06882681469013,0.171,0.024,2.54320268504687e-107,"T-Cells","LINC00623"
"246",6.78540061048191e-106,1.10085800670362,0.163,0.023,5.08497921749514e-102,"T-Cells","LEPROTL1"
"247",3.36780430130944e-100,1.16050538741402,0.213,0.04,2.52383254340129e-96,"T-Cells","ZC3HAV1"
"248",1.16009531155394e-98,1.31185501720904,0.258,0.058,8.69375426478523e-95,"T-Cells","CLEC2D"
"249",1.20966382189586e-92,1.19194454041808,0.233,0.05,9.0652206812876e-89,"T-Cells","APBB1IP"
"250",5.21923504117e-90,1.26304318710897,0.25,0.059,3.9112947398528e-86,"T-Cells","SARAF"
"251",3.32363730475889e-86,0.962641941265248,0.584,0.285,2.49073379618631e-82,"T-Cells","PITPNC1"
"252",1.56783365575821e-82,1.20626122050562,0.226,0.052,1.1749345416252e-78,"T-Cells","DOCK2"
"253",2.56813926293833e-80,1.24798159236343,0.268,0.072,1.92456356364598e-76,"T-Cells","PCED1B"
"254",1.48301684758771e-75,1.31736798573944,0.462,0.218,1.11137282558223e-71,"T-Cells","SMCHD1"
"255",3.11558184638839e-75,1.12153978697945,0.27,0.076,2.33481703568346e-71,"T-Cells","IFI16"
"256",4.25015755242742e-73,0.997225164210901,0.165,0.032,3.18506806978911e-69,"T-Cells","CCDC109B"
"257",1.27879143143638e-71,0.975113154295181,0.158,0.03,9.58326298718424e-68,"T-Cells","GNAO1"
"258",7.38729620021385e-68,1.06080499537569,0.172,0.037,5.53603977244026e-64,"T-Cells","CD44"
"259",1.54532216911578e-67,0.977679876250578,0.149,0.028,1.15806443353537e-63,"T-Cells","PIK3CD"
"260",1.69245047574971e-66,1.01384429478987,0.215,0.055,1.26832238652683e-62,"T-Cells","MYO1F"
"261",2.36577871962698e-66,1.04029084858195,0.529,0.31,1.77291457248846e-62,"T-Cells","ATXN1"
"262",2.15021831112546e-64,1.05032491727044,0.165,0.035,1.61137360235742e-60,"T-Cells","RNF125"
"263",4.25067348741529e-64,1.0474261372371,0.476,0.243,3.18545471146902e-60,"T-Cells","PDE3B"
"264",1.11565414682598e-62,1.14754771314634,0.435,0.213,8.36071217631388e-59,"T-Cells","PPP2R5C"
"265",1.01705438739725e-61,1.00837723672685,0.199,0.05,7.621805579155e-58,"T-Cells","AC018890.6"
"266",1.7233096882408e-57,1.09127488336941,0.211,0.059,1.29144828036766e-53,"T-Cells","CDC14A"
"267",5.00420409394832e-56,0.903514136911032,0.123,0.023,3.75015054800487e-52,"T-Cells","ARHGAP25"
"268",1.1047643309164e-53,0.923195494568993,0.146,0.032,8.27910389588753e-50,"T-Cells","RUNX2"
